product,Sentiment,count
.NET,Negative,16
.NET,Neutral,98
.NET,Positive,66
Azure,Negative,36
Azure,Neutral,72
Azure,Positive,55
Edge,Negative,31
Edge,Neutral,23
Edge,Positive,116
GitHub,Negative,15
GitHub,Neutral,54
GitHub,Positive,95
OneDrive,Negative,22
OneDrive,Neutral,62
OneDrive,Positive,82
Outlook,Negative,30
Outlook,Neutral,37
Outlook,Positive,100
Overall,Negative,453
Overall,Neutral,1130
Overall,Positive,1487
PowerBI,Negative,11
PowerBI,Neutral,42
PowerBI,Positive,108
Teams,Negative,30
Teams,Neutral,41
Teams,Positive,98
Windows,Negative,40
Windows,Neutral,158
Windows,Positive,81
Xbox,Negative,40
Xbox,Neutral,36
Xbox,Positive,88
